gene,compound,compound_code,cui,relationship,source,pubchem_cid,canonical_smiles,molecular_formula,molecular_weight,iupac_name,pubchem_status
NR1H2 gene,Erythromycin C,83933,C0600214,inverse_negatively_correlated_with_chemical_or_drug,CMAP,83933.0,,C36H65NO13,719.9,"(3R,4S,5S,6R,7R,9R,11R,12R,13S,14R)-4-[(2R,4R,5S,6S)-4,5-dihydroxy-4,6-dimethyloxan-2-yl]oxy-6-[(2S,3R,4S,6R)-4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-14-ethyl-7,12,13-trihydroxy-3,5,7,9,11,13-hexamethyl-oxacyclotetradecane-2,10-dione",found
NR1H2 gene,Estriol,5756,C0014927,negatively_correlated_with_chemical_or_drug,CMAP,5756.0,,C18H24O3,288.4,"(8R,9S,13S,14S,16R,17R)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,16,17-triol",found
NR1H2 gene,Estriol,5756,C0014927,inverse_negatively_correlated_with_chemical_or_drug,CMAP,5756.0,,C18H24O3,288.4,"(8R,9S,13S,14S,16R,17R)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,16,17-triol",found
NR1H2 gene,Estrone,5870,C0014942,negatively_correlated_with_chemical_or_drug,CMAP,5870.0,,C18H22O2,270.4,"(8R,9S,13S,14S)-3-hydroxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-one",found
NR1H2 gene,Estrone,5870,C0014942,inverse_negatively_correlated_with_chemical_or_drug,CMAP,5870.0,,C18H22O2,270.4,"(8R,9S,13S,14S)-3-hydroxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-one",found
NR1H2 gene,Finasteride,57363,C0060389,negatively_correlated_with_chemical_or_drug,CMAP,57363.0,,C23H36N2O2,372.5,"(1S,3aS,3bS,5aR,9aR,9bS,11aS)-N-tert-butyl-9a,11a-dimethyl-7-oxo-1,2,3,3a,3b,4,5,5a,6,9b,10,11-dodecahydroindeno[5,4-f]quinoline-1-carboxamide",found
NR1H2 gene,Finasteride,57363,C0060389,inverse_negatively_correlated_with_chemical_or_drug,CMAP,57363.0,,C23H36N2O2,372.5,"(1S,3aS,3bS,5aR,9aR,9bS,11aS)-N-tert-butyl-9a,11a-dimethyl-7-oxo-1,2,3,3a,3b,4,5,5a,6,9b,10,11-dodecahydroindeno[5,4-f]quinoline-1-carboxamide",found
NR1H2 gene,Haloperidol,3559,C0018546,negatively_correlated_with_chemical_or_drug,CMAP,3559.0,,C21H23ClFNO2,375.9,4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one,found
NR1H2 gene,Haloperidol,3559,C0018546,inverse_negatively_correlated_with_chemical_or_drug,CMAP,3559.0,,C21H23ClFNO2,375.9,4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one,found
NR1H2 gene,Kinetin,3830,C0049579,negatively_correlated_with_chemical_or_drug,CMAP,3830.0,,C10H9N5O,215.21,N-(furan-2-ylmethyl)-7H-purin-6-amine,found
NR1H2 gene,Kinetin,3830,C0049579,inverse_negatively_correlated_with_chemical_or_drug,CMAP,3830.0,,C10H9N5O,215.21,N-(furan-2-ylmethyl)-7H-purin-6-amine,found
NR1H2 gene,Levofloxacin,149096,C0028902,negatively_correlated_with_chemical_or_drug,CMAP,149096.0,,C18H20FN3O4,361.4,"(2S)-7-fluoro-2-methyl-6-(4-methylpiperazin-1-yl)-10-oxo-4-oxa-1-azatricyclo[7.3.1.05,13]trideca-5(13),6,8,11-tetraene-11-carboxylic acid",found
NR1H2 gene,Levofloxacin,149096,C0028902,inverse_negatively_correlated_with_chemical_or_drug,CMAP,149096.0,,C18H20FN3O4,361.4,"(2S)-7-fluoro-2-methyl-6-(4-methylpiperazin-1-yl)-10-oxo-4-oxa-1-azatricyclo[7.3.1.05,13]trideca-5(13),6,8,11-tetraene-11-carboxylic acid",found
NR1H2 gene,Lisuride,11957615,PUBCHEM:11957615 CUI,positively_regulates,LINCS,28864.0,,C20H26N4O,338.4,"3-[(6aR,9S)-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinolin-9-yl]-1,1-diethylurea",found
NR1H2 gene,Lisuride,11957615,PUBCHEM:11957615 CUI,positively_regulated_by,LINCS,28864.0,,C20H26N4O,338.4,"3-[(6aR,9S)-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinolin-9-yl]-1,1-diethylurea",found
NR1H2 gene,Mianserin,4184,PUBCHEM:4184 CUI,negatively_regulates,LINCS,4184.0,,C18H20N2,264.4,"5-methyl-2,5-diazatetracyclo[13.4.0.02,7.08,13]nonadeca-1(19),8,10,12,15,17-hexaene",found
NR1H2 gene,Mianserin,4184,PUBCHEM:4184 CUI,negatively_regulated_by,LINCS,4184.0,,C18H20N2,264.4,"5-methyl-2,5-diazatetracyclo[13.4.0.02,7.08,13]nonadeca-1(19),8,10,12,15,17-hexaene",found
NR1H2 gene,Naltrexone,5360515,C0027360,negatively_correlated_with_chemical_or_drug,CMAP,5360515.0,,C20H23NO4,341.4,"(4R,4aS,7aR,12bS)-3-(cyclopropylmethyl)-4a,9-dihydroxy-2,4,5,6,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinolin-7-one",found
NR1H2 gene,Naltrexone,5360515,C0027360,inverse_negatively_correlated_with_chemical_or_drug,CMAP,5360515.0,,C20H23NO4,341.4,"(4R,4aS,7aR,12bS)-3-(cyclopropylmethyl)-4a,9-dihydroxy-2,4,5,6,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinolin-7-one",found
NR1H2 gene,Naproxen,156391,C0027396,negatively_correlated_with_chemical_or_drug,CMAP,156391.0,,C14H14O3,230.26,(2S)-2-(6-methoxynaphthalen-2-yl)propanoic acid,found
NR1H2 gene,Naproxen,156391,C0027396,positively_correlated_with_chemical_or_drug,CMAP,156391.0,,C14H14O3,230.26,(2S)-2-(6-methoxynaphthalen-2-yl)propanoic acid,found
NR1H2 gene,Naproxen,156391,C0027396,inverse_positively_correlated_with_chemical_or_drug,CMAP,156391.0,,C14H14O3,230.26,(2S)-2-(6-methoxynaphthalen-2-yl)propanoic acid,found
NR1H2 gene,Naproxen,156391,C0027396,inverse_negatively_correlated_with_chemical_or_drug,CMAP,156391.0,,C14H14O3,230.26,(2S)-2-(6-methoxynaphthalen-2-yl)propanoic acid,found
NR1H2 gene,Primaquine,4908,C0033126,negatively_correlated_with_chemical_or_drug,CMAP,4908.0,,C15H21N3O,259.35,"4-N-(6-methoxyquinolin-8-yl)pentane-1,4-diamine",found
NR1H2 gene,Primaquine,4908,C0033126,inverse_negatively_correlated_with_chemical_or_drug,CMAP,4908.0,,C15H21N3O,259.35,"4-N-(6-methoxyquinolin-8-yl)pentane-1,4-diamine",found
NR1H2 gene,SA-1459261,54657706,PUBCHEM:54657706 CUI,positively_regulates,LINCS,,,,,,CID not found
NR1H2 gene,SA-1459261,54657706,PUBCHEM:54657706 CUI,positively_regulated_by,LINCS,,,,,,CID not found
NR1H2 gene,SA-1919584,54666568,PUBCHEM:54666568 CUI,negatively_regulates,LINCS,,,,,,CID not found
NR1H2 gene,SA-1919584,54666568,PUBCHEM:54666568 CUI,negatively_regulated_by,LINCS,,,,,,CID not found
NR1H2 gene,SID11111390,3883,C0050940,negatively_correlated_with_chemical_or_drug,CMAP,,,,,,CID not found
NR1H2 gene,SID11111390,3883,C0050940,inverse_negatively_correlated_with_chemical_or_drug,CMAP,,,,,,CID not found
NR1H2 gene,SID11111646,4748,C0031184,negatively_correlated_with_chemical_or_drug,CMAP,,,,,,CID not found
NR1H2 gene,SID11111646,4748,C0031184,inverse_negatively_correlated_with_chemical_or_drug,CMAP,,,,,,CID not found
NR1H2 gene,SID11111775,5335,C0038706,negatively_correlated_with_chemical_or_drug,CMAP,,,,,,CID not found
NR1H2 gene,SID11111775,5335,C0038706,inverse_negatively_correlated_with_chemical_or_drug,CMAP,,,,,,CID not found
NR1H2 gene,SID11113344,5344,C0038745,negatively_correlated_with_chemical_or_drug,CMAP,,,,,,CID not found
NR1H2 gene,SID11113344,5344,C0038745,inverse_negatively_correlated_with_chemical_or_drug,CMAP,,,,,,CID not found
NR1H2 gene,SID11113732,3955,C0023992,negatively_correlated_with_chemical_or_drug,CMAP,,,,,,CID not found
NR1H2 gene,SID11113732,3955,C0023992,inverse_negatively_correlated_with_chemical_or_drug,CMAP,,,,,,CID not found
NR1H2 gene,ST-4070043,3917094,PUBCHEM:3917094 CUI,positively_regulates,LINCS,,,,,,CID not found
NR1H2 gene,ST-4070043,3917094,PUBCHEM:3917094 CUI,positively_regulated_by,LINCS,,,,,,CID not found
NR1H2 gene,"[4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazin-1-yl]-furan-2-yl-methanone",4893,C0032912,negatively_correlated_with_chemical_or_drug,CMAP,,,,,,CID not found
