pubchem_cid,SMILES
5323.0,COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC
5325.0,CC1=NC(=NC=C1)NS(=O)(=O)C2=CC=C(C=C2)N
5533.0,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl
135398737.0,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42
3446.0,C1CCC(CC1)(CC(=O)O)CN
3658.0,C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
4421.0,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O
8955.0,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
3290.0,CCN(CC)C(C)CN1C2=CC=CC=C2SC3=CC=CC=C31
5253.0,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O
6769.0,CCOC(=O)OC1=C(C=C(C=C1OC)C(=O)O[C@@H]2C[C@@H]3CN4CCC5=C([C@H]4C[C@@H]3[C@@H]([C@H]2OC)C(=O)OC)NC6=C5C=CC(=C6)OC)OC
5403.0,CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O
5273569.0,COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)O
2122.0,C=CCSCC1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
2446.0,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Br
2448.0,C1CN(CCC1(C2=CC=C(C=C2)Br)O)CCCC(=O)C3=CC=C(C=C3)F
197583.0,C[C@@H](C1=CC(=C(C=C1)Cl)Cl)NC[C@@H](CP(=O)(CC2CCCCC2)O)O.Cl
88505.0,COC1=C(C=C(C(=C1)C=O)[N+](=O)[O-])OC
54677407.0,CC1(C=CC2=C(O1)C=C3C(=C2OC)C(=C(C(=O)O3)C4=CC=C(C=C4)OC)O)C
24965990.0,C[C@@H]1CCN(CCN1C(=O)C2=C(C=CC(=C2)C)N3N=CC=N3)C4=NC5=C(O4)C=CC(=C5)Cl
3080836.0,CC1=C(C=CC=C1Cl)NC2=C(C=CC=N2)C(=O)O.C(CCN)C[C@@H](C(=O)O)N
9935681.0,CCOCC1=CC(=C(C(=C1)OC)C2=CC=C(C=C2)C[C@@H](C(=O)O)NC(=O)C3=C(C=CC=C3F)F)OC
853433.0,C/C=C/C1=CC(=C(C=C1)O)OC
11705608.0,CC(C)OC(=O)N1CCC(CC1)OC2=NC=NC3=C2C=NN3C4=C(C=C(C=C4)S(=O)(=O)C)F
97807.0,C1OC2=C(O1)C=C(C=C2)CC(CO)O
