gene,compound,compound_code,cui,relationship,source,pubchem_cid,canonical_smiles,molecular_formula,molecular_weight,iupac_name,pubchem_status,CID,MolecularWeight,SMILES,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,property_status
NR1H2 gene,Chlorambucil,2708,C0008163,inverse_negatively_correlated_with_chemical_or_drug,CMAP,2708.0,,C14H19Cl2NO2,304.2,4-[4-[bis(2-chloroethyl)amino]phenyl]butanoic acid,found,2708.0,304.2,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,1.7,40.5,1.0,3.0,9.0,found
NR1H2 gene,Cyclobenzaprine,2895,C0056732,negatively_correlated_with_chemical_or_drug,CMAP,2895.0,,C20H21N,275.4,"N,N-dimethyl-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,9,11,13-heptaenylidene)propan-1-amine",found,2895.0,275.4,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31,5.2,3.2,0.0,1.0,3.0,found
NR1H2 gene,Cyclobenzaprine,2895,C0056732,inverse_negatively_correlated_with_chemical_or_drug,CMAP,2895.0,,C20H21N,275.4,"N,N-dimethyl-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,9,11,13-heptaenylidene)propan-1-amine",found,2895.0,275.4,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31,5.2,3.2,0.0,1.0,3.0,found
NR1H2 gene,Decitabine,451668,C0049065,negatively_correlated_with_chemical_or_drug,CMAP,451668.0,,C8H12N4O4,228.21,"4-amino-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,3,5-triazin-2-one",found,451668.0,228.21,C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O,-1.2,121.0,3.0,4.0,2.0,found
NR1H2 gene,Decitabine,451668,C0049065,inverse_negatively_correlated_with_chemical_or_drug,CMAP,451668.0,,C8H12N4O4,228.21,"4-amino-1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,3,5-triazin-2-one",found,451668.0,228.21,C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O,-1.2,121.0,3.0,4.0,2.0,found
NR1H2 gene,Doxylamine,3162,C0013092,negatively_correlated_with_chemical_or_drug,CMAP,3162.0,,C17H22N2O,270.37,"N,N-dimethyl-2-(1-phenyl-1-pyridin-2-ylethoxy)ethanamine",found,3162.0,270.37,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C,2.5,25.4,0.0,3.0,6.0,found
NR1H2 gene,Doxylamine,3162,C0013092,inverse_negatively_correlated_with_chemical_or_drug,CMAP,3162.0,,C17H22N2O,270.37,"N,N-dimethyl-2-(1-phenyl-1-pyridin-2-ylethoxy)ethanamine",found,3162.0,270.37,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C,2.5,25.4,0.0,3.0,6.0,found
NR1H2 gene,Erythromycin C,83933,C0600214,negatively_correlated_with_chemical_or_drug,CMAP,83933.0,,C36H65NO13,719.9,"(3R,4S,5S,6R,7R,9R,11R,12R,13S,14R)-4-[(2R,4R,5S,6S)-4,5-dihydroxy-4,6-dimethyloxan-2-yl]oxy-6-[(2S,3R,4S,6R)-4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-14-ethyl-7,12,13-trihydroxy-3,5,7,9,11,13-hexamethyl-oxacyclotetradecane-2,10-dione",found,83933.0,719.9,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)O)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,2.2,205.0,6.0,14.0,6.0,found
NR1H2 gene,Erythromycin C,83933,C0600214,inverse_negatively_correlated_with_chemical_or_drug,CMAP,83933.0,,C36H65NO13,719.9,"(3R,4S,5S,6R,7R,9R,11R,12R,13S,14R)-4-[(2R,4R,5S,6S)-4,5-dihydroxy-4,6-dimethyloxan-2-yl]oxy-6-[(2S,3R,4S,6R)-4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-14-ethyl-7,12,13-trihydroxy-3,5,7,9,11,13-hexamethyl-oxacyclotetradecane-2,10-dione",found,83933.0,719.9,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)O)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,2.2,205.0,6.0,14.0,6.0,found
NR1H2 gene,Estriol,5756,C0014927,negatively_correlated_with_chemical_or_drug,CMAP,5756.0,,C18H24O3,288.4,"(8R,9S,13S,14S,16R,17R)-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,16,17-triol",found,5756.0,288.4,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O,2.5,60.7,3.0,3.0,0.0,found
