gene,compound,pubchem_cid,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,SMILES,rough_ro5_pass,rough_bbb_candidate,inchikey,dc_status,dc_struct_id,dc_name,atc_code,is_approved_drug
NR1H2 gene,prednisolone,5755.0,360.4,1.6,94.8,3.0,5.0,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O,True,True,OIGNJSKKLXVSLS-VWUMJDOOSA-N,found,2245.0,prednisolone,A01AC04,True
NR1H2 gene,prednisone,5865.0,358.4,1.5,91.7,2.0,5.0,C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C,True,True,XOFYZVNMUHMLCC-ZPOLXVRWSA-N,found,2253.0,prednisone,A07EA03,True
NR1H2 gene,spironolactone,5833.0,416.6,2.9,85.7,0.0,5.0,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C,True,True,LXMSZDCAJNLERA-ZHYRCANASA-N,found,2475.0,spironolactone,C03DA01,True
NR1H2 gene,tretinoin,444795.0,300.4,6.3,37.3,1.0,2.0,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,True,True,SHGAZHPCJJPHSC-YCNIQYBTSA-N,found,2722.0,tretinoin,D10AD01,True
NR1H3 gene,"3-(dibenzo[b,e]oxepin-11(6H)-ylidene)-N,N-dimethylpropan-1-amine",3158.0,279.4,4.3,12.5,0.0,2.0,CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC=C31,True,True,ODQWQRRAPPTVAG-UHFFFAOYSA-N,found,956.0,doxepin,D04AX01,True
NR1H3 gene,4-Amino-1-(5-hydroxymethyl-tetrahydro-furan-2-yl)-1H-pyrimidin-2-one,24066.0,211.22,-1.3,88.2,2.0,3.0,C1C[C@@H](O[C@@H]1CO)N2C=CC(=NC2=O)N,True,True,WREGKURFCTUGRC-POYBYMJQSA-N,found,2856.0,zalcitabine,J05AF03,True
NR1H3 gene,4-Amino-N-(2-diethylamino-ethyl)-benzamide,4913.0,235.33,0.9,58.4,2.0,3.0,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N,True,True,REQCZEXYDRLIBE-UHFFFAOYSA-N,found,2270.0,procainamide,C01BA02,True
NR1H3 gene,"5-(4-Chloro-phenyl)-6-ethyl-pyrimidine-2,4-diamine",4993.0,248.71,2.7,77.8,2.0,4.0,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,True,True,WKSAUQYGYAYLPV-UHFFFAOYSA-N,found,2332.0,pyrimethamine,P01BD01,True
NR1H3 gene,Acetohexamide,1989.0,324.4,2.4,101.0,2.0,4.0,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,True,True,VGZSUPCWNCWDAN-UHFFFAOYSA-N,found,57.0,acetohexamide,A10BB31,True
NR1H3 gene,Benzocaine,2337.0,165.19,1.9,52.3,1.0,3.0,CCOC(=O)C1=CC=C(C=C1)N,True,True,BLFLLBZGZJTVJG-UHFFFAOYSA-N,found,323.0,benzocaine,C05AD03,True
