compound,pubchem_cid,canonical_smiles,molecular_formula,molecular_weight,iupac_name,pubchem_status
Haloperidol,3559.0,,C21H23ClFNO2,375.9,4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one,found
KU-C103874,,,,,,CID not found
KU-C104131,,,,,,CID not found
Kanamycin,6032.0,,C18H36N4O11,484.5,"(2R,3S,4S,5R,6R)-2-(aminomethyl)-6-[(1R,2R,3S,4R,6S)-4,6-diamino-3-[(2S,3R,4S,5S,6R)-4-amino-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-hydroxycyclohexyl]oxyoxane-3,4,5-triol",found
Kinetin,3830.0,,C10H9N5O,215.21,N-(furan-2-ylmethyl)-7H-purin-6-amine,found
Levofloxacin,149096.0,,C18H20FN3O4,361.4,"(2S)-7-fluoro-2-methyl-6-(4-methylpiperazin-1-yl)-10-oxo-4-oxa-1-azatricyclo[7.3.1.05,13]trideca-5(13),6,8,11-tetraene-11-carboxylic acid",found
Lisuride,28864.0,,C20H26N4O,338.4,"3-[(6aR,9S)-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinolin-9-yl]-1,1-diethylurea",found
MW-A1-2,,,,,,CID not found
Melatonin,896.0,,C13H16N2O2,232.28,N-[2-(5-methoxy-1H-indol-3-yl)ethyl]acetamide,found
Melperone,15387.0,,C16H22FNO,263.35,1-(4-fluorophenyl)-4-(4-methylpiperidin-1-yl)butan-1-one,found
Meropenem,441130.0,,C17H25N3O5S,383.5,"(4R,5S,6S)-3-[(3S,5S)-5-(dimethylcarbamoyl)pyrrolidin-3-yl]sulfanyl-6-[(1R)-1-hydroxyethyl]-4-methyl-7-oxo-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid",found
Methotrexate,126941.0,,C20H22N8O5,454.4,"(2S)-2-[[4-[(2,4-diaminopteridin-6-yl)methyl-methylamino]benzoyl]amino]pentanedioic acid",found
Mianserin,4184.0,,C18H20N2,264.4,"5-methyl-2,5-diazatetracyclo[13.4.0.02,7.08,13]nonadeca-1(19),8,10,12,15,17-hexaene",found
Naltrexone,5360515.0,,C20H23NO4,341.4,"(4R,4aS,7aR,12bS)-3-(cyclopropylmethyl)-4a,9-dihydroxy-2,4,5,6,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinolin-7-one",found
Naproxen,156391.0,,C14H14O3,230.26,(2S)-2-(6-methoxynaphthalen-2-yl)propanoic acid,found
Nortriptyline,4543.0,,C19H21N,263.4,"N-methyl-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,11,13-hexaenylidene)propan-1-amine",found
Pioglitazone,4829.0,,C19H20N2O3S,356.4,"5-[[4-[2-(5-ethyl-2-pyridinyl)ethoxy]phenyl]methyl]-1,3-thiazolidine-2,4-dione",found
Piperacillin,43672.0,,C23H27N5O7S,517.6,"(2S,5R,6R)-6-[[(2R)-2-[(4-ethyl-2,3-dioxopiperazine-1-carbonyl)amino]-2-phenylacetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",found
Primaquine,4908.0,,C15H21N3O,259.35,"4-N-(6-methoxyquinolin-8-yl)pentane-1,4-diamine",found
Reserpine,5770.0,,C33H40N2O9,608.7,"methyl (1R,15S,17R,18R,19S,20S)-6,18-dimethoxy-17-(3,4,5-trimethoxybenzoyl)oxy-1,3,11,12,14,15,16,17,18,19,20,21-dodecahydroyohimban-19-carboxylate",found
Robustic-acid,54677407.0,,C22H20O6,380.4,"6-hydroxy-5-methoxy-7-(4-methoxyphenyl)-2,2-dimethylpyrano[3,2-g]chromen-8-one",found
SA-1459261,,,,,,CID not found
SA-1459430,,,,,,CID not found
SA-1919584,,,,,,CID not found
SD-6-035-A3,,,,,,CID not found
SID11111262,,,,,,CID not found
SID11111390,,,,,,CID not found
SID11111646,,,,,,CID not found
SID11111775,,,,,,CID not found
SID11112531,,,,,,CID not found
SID11112786,,,,,,CID not found
SID11113344,,,,,,CID not found
SID11113732,,,,,,CID not found
ST-4070043,,,,,,CID not found
Sulfacetamide,5320.0,,C8H10N2O3S,214.24,N-(4-aminophenyl)sulfonylacetamide,found
Sulfadimethoxine,5323.0,,C12H14N4O4S,310.33,"4-amino-N-(2,6-dimethoxypyrimidin-4-yl)benzenesulfonamide",found
Sulfamerazine,5325.0,,C11H12N4O2S,264.31,4-amino-N-(4-methylpyrimidin-2-yl)benzenesulfonamide,found
Suvorexant,24965990.0,,C23H23ClN6O2,450.9,"[(7R)-4-(5-chloro-1,3-benzoxazol-2-yl)-7-methyl-1,4-diazepan-1-yl]-[5-methyl-2-(triazol-2-yl)phenyl]methanone",found
Trazodone,5533.0,,C19H22ClN5O,371.9,"2-[3-[4-(3-chlorophenyl)piperazin-1-yl]propyl]-[1,2,4]triazolo[4,3-a]pyridin-3-one",found
VU-0413255-1,,,,,,CID not found
"[4-(4-Amino-6,7-dimethoxy-quinazolin-2-yl)-piperazin-1-yl]-furan-2-yl-methanone",,,,,,CID not found
[<sup>3</sup>H]tiotropium,,,,,,CID not found
acebutolol,1978.0,,C18H28N2O4,336.4,N-[3-acetyl-4-[2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl]butanamide,found
amitriptyline,2160.0,,C20H23N,277.4,"N,N-dimethyl-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,11,13-hexaenylidene)propan-1-amine",found
benactyzine,9330.0,,C20H25NO3,327.4,"2-(diethylamino)ethyl 2-hydroxy-2,2-diphenylacetate",found
clonixin-lysinate,3080836.0,,C19H25ClN4O4,408.9,"2-(3-chloro-2-methylanilino)pyridine-3-carboxylic acid;(2S)-2,6-diaminohexanoic acid",found
clozapine,135398737.0,,C18H19ClN4,326.8,"3-chloro-6-(4-methylpiperazin-1-yl)-11H-benzo[b][1,4]benzodiazepine",found
diethylstilbestrol,448537.0,,C18H20O2,268.3,4-[(E)-4-(4-hydroxyphenyl)hex-3-en-3-yl]phenol,found
erythromycin,12560.0,,C37H67NO13,733.9,"(3R,4S,5S,6R,7R,9R,11R,12R,13S,14R)-6-[(2S,3R,4S,6R)-4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-14-ethyl-7,12,13-trihydroxy-4-[(2R,4R,5S,6S)-5-hydroxy-4-methoxy-4,6-dimethyloxan-2-yl]oxy-3,5,7,9,11,13-hexamethyl-oxacyclotetradecane-2,10-dione",found
firategrast,9935681.0,,C27H27F2NO6,499.5,"(2S)-2-[(2,6-difluorobenzoyl)amino]-3-[4-[4-(ethoxymethyl)-2,6-dimethoxyphenyl]phenyl]propanoic acid",found
gabapentin,3446.0,,C9H17NO2,171.24,2-[1-(aminomethyl)cyclohexyl]acetic acid,found
hydroxyzine,3658.0,,C21H27ClN2O2,374.9,2-[2-[4-[(4-chlorophenyl)-phenylmethyl]piperazin-1-yl]ethoxy]ethanol,found
inhibitor-BEC,,,,,,CID not found
isoeugenol,853433.0,,C10H12O2,164.20,2-methoxy-4-[(E)-prop-1-enyl]phenol,found
"isopropyl 4-(1-(2-fluoro-4-(methylsulfonyl)phenyl)-1H-pyrazolo[3,4-d]pyrimidin-4-yloxy)piperidine-1-carboxylate",11705608.0,,C21H24FN5O5S,477.5,"propan-2-yl 4-[1-(2-fluoro-4-methylsulfonylphenyl)pyrazolo[5,4-d]pyrimidin-4-yl]oxypiperidine-1-carboxylate",found
nalidixic-acid,4421.0,,C12H12N2O3,232.23,"1-ethyl-7-methyl-4-oxo-1,8-naphthyridine-3-carboxylic acid",found
pivampicillin,33478.0,,C22H29N3O6S,463.5,"2,2-dimethylpropanoyloxymethyl (2S,5R,6R)-6-[[(2R)-2-amino-2-phenylacetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",found
prednisolone,5755.0,,C21H28O5,360.4,"(8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-one",found
prednisone,5865.0,,C21H26O5,358.4,"(8S,9S,10R,13S,14S,17R)-17-hydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-6,7,8,9,12,14,15,16-octahydrocyclopenta[a]phenanthrene-3,11-dione",found
pregnenolone,8955.0,,C21H32O2,316.5,"1-[(3S,8S,9S,10R,13S,14S,17S)-3-hydroxy-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl]ethanone",found
profenamine,3290.0,,C19H24N2S,312.5,"N,N-diethyl-1-phenothiazin-10-ylpropan-2-amine",found
safrolglycol,97807.0,,C10H12O4,196.20,"3-(1,3-benzodioxol-5-yl)propane-1,2-diol",found
sotalol,5253.0,,C12H20N2O3S,272.37,N-[4-[1-hydroxy-2-(propan-2-ylamino)ethyl]phenyl]methanesulfonamide,found
spironolactone,5833.0,,C24H32O4S,416.6,"S-[(7R,8R,9S,10R,13S,14S,17R)-10,13-dimethyl-3,5'-dioxospiro[2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthrene-17,2'-oxolane]-7-yl] ethanethioate",found
syrosingopine,6769.0,,C35H42N2O11,666.7,"methyl (1R,15S,17R,18R,19S,20S)-17-(4-ethoxycarbonyloxy-3,5-dimethoxybenzoyl)oxy-6,18-dimethoxy-1,3,11,12,14,15,16,17,18,19,20,21-dodecahydroyohimban-19-carboxylate",found
terbutaline,5403.0,,C12H19NO3,225.28,"5-[2-(tert-butylamino)-1-hydroxyethyl]benzene-1,3-diol",found
tretinoin,444795.0,,C20H28O2,300.4,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid",found
