neighbor_type,neighbor,node_code,cui,relationship,source
[Disease],Pentolinium,35946000,C0030885,negatively_correlated_with_chemical_or_drug,CMAP
[Disease],troglitazone,109085002,C0245514,negatively_correlated_with_chemical_or_drug,CMAP
[Disease],zuclopenthixol,428715002,C0376160,negatively_correlated_with_chemical_or_drug,CMAP
[Disease],protriptyline,49299006,C0033743,negatively_correlated_with_chemical_or_drug,CMAP
[Disease],sulfadimethoxine,387279005,C0038676,negatively_correlated_with_chemical_or_drug,CMAP
[Disease],prochlorperazine,79129001,C0033229,negatively_correlated_with_chemical_or_drug,CMAP
[Disease],bacampicillin,82312001,C0052865,negatively_correlated_with_chemical_or_drug,CMAP
[Disease],meropenem,387540000,C0066005,negatively_correlated_with_chemical_or_drug,CMAP
[Disease],raloxifene,109029006,C0244404,negatively_correlated_with_chemical_or_drug,CMAP
[Disease],propranolol,372772003,C0033497,negatively_correlated_with_chemical_or_drug,CMAP
[Disease],cefixime anhydrous,785697003,C3661490,negatively_correlated_with_chemical_or_drug,CMAP
[Disease],nabumetone,386859000,C0068334,negatively_correlated_with_chemical_or_drug,CMAP
[Disease],clomipramine,372903001,C0009010,negatively_correlated_with_chemical_or_drug,CMAP
[Disease],cycloserine,51334008,C0010590,negatively_correlated_with_chemical_or_drug,CMAP
[Disease],tolnaftate,387204001,C0040379,negatively_correlated_with_chemical_or_drug,CMAP
[Disease],atropine,73949004,C0004259,negatively_correlated_with_chemical_or_drug,CMAP
[Disease],thioridazine,372706001,C0039943,negatively_correlated_with_chemical_or_drug,CMAP
[Disease],tenoxicam,329913008,C0076096,negatively_correlated_with_chemical_or_drug,CMAP
[Disease],atracurium besylate,72752006,C0004235,negatively_correlated_with_chemical_or_drug,CMAP
[Disease],scopolamine hydrobromide,387477005,C0036444,negatively_correlated_with_chemical_or_drug,CMAP
[Disease],spironolactone,387078006,C0037982,negatively_correlated_with_chemical_or_drug,CMAP
[Disease],benzonatate,31801005,C0053229,negatively_correlated_with_chemical_or_drug,CMAP
[Disease],methotrimeprazine,89029005,C0025678,negatively_correlated_with_chemical_or_drug,CMAP
[Disease],haloperidol,386837002,C0018546,negatively_correlated_with_chemical_or_drug,CMAP
[Disease],glipizide,26124005,C0017642,negatively_correlated_with_chemical_or_drug,CMAP
[Disease],gabapentin,386845007,C0060926,negatively_correlated_with_chemical_or_drug,CMAP
[Disease],piperacillin,372836004,C0031955,negatively_correlated_with_chemical_or_drug,CMAP
[Disease],dibucaine,395953008,C0012050,negatively_correlated_with_chemical_or_drug,CMAP
[Disease],piperacillin anhydrous,785694005,C1882383,negatively_correlated_with_chemical_or_drug,CMAP
[Disease],hydroxyzine,80165005,C0020404,negatively_correlated_with_chemical_or_drug,CMAP
