id,name,sym,fam,famext,tdl,uniprot,dtoid,novelty_score,importance_score
1977,"DALR anticodon-binding domain-containing protein 3",DALRD3,,,Tdark,Q5D0E6,DTO_05004481,0.5378666,0.051001
13030,"Calcium homeostasis modulator protein 3",CALHM3,"IC","IC",Tdark,Q86XJ0,DTO_01100054,0.54881206,0.04301058
12727,"IQ domain-containing protein K",IQCK,,,Tdark,Q8N0W5,,0.6057104,0.0393417
9926,"Protocadherin beta-11",PCDHB11,,,Tdark,Q9Y5F2,,0.80480462,0.03537415
14321,"WD repeat-containing protein 88",WDR88,,,Tdark,Q6ZMY6,,1.25543478,0.03333333
15656,"Ankyrin repeat domain-containing protein 20A1",ANKRD20A1,,,Tdark,Q5TYW2,,1.25669657,0.02222222
19545,"Protein KRBA1",KRBA1,,,Tdark,A5PL33,,2.59384945,0.01666667
10882,"phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein",PINLYP,"Enzyme",,Tdark,A6NC86,DTO_05004066,3.21624712,0.01458271
13464,"Anthrax toxin receptor-like",ANTXRL,,,Tdark,A6NF34,DTO_05002293,3.76351765,0.00757576
11076,"RAB6A-GEF complex partner protein 2",RGP1,,,Tbio,Q92546,,4,0.00714286
8019,"Small integral membrane protein 15",SMIM15,,,Tdark,Q7Z3B0,,5.90792839,0.00413223
18447,"Olfactory receptor 5L1",OR5L1,"oGPCR","oGPCR",Tdark,Q8NGL2,DTO_02100634,5.98294682,0.00296761
15233,"Zinc finger protein 776",ZNF776,"TF","TF",Tdark,Q68DI1,,7.01411509,0.0027027
3089,"Uncharacterized protein C16orf97",C16orf97,,,Tdark,H3BN30,,10.69767442,0.00227526
18582,"Olfactory receptor 5D14",OR5D14,"oGPCR","oGPCR",Tdark,Q8NGL3,DTO_02100620,12.74509804,0.00181818
16402,"Transmembrane protein 191B",TMEM191B,,,Tdark,P0C7N4,,14.07662526,0.00084104
2293,"Uncharacterized protein C3orf84",C3orf84,,,Tdark,H3BNL1,,17,0.00075415
5070,"Tripartite motif-containing protein 49D",TRIM49D1,,,Tdark,C9J1S8,,19.53488372,0.00063776
12654,"Olfactory receptor 6C65",OR6C65,"oGPCR","oGPCR",Tdark,A6NJZ3,DTO_02100457,22.4,0.00054113
18426,"Olfactory receptor 4F4",OR4F4,"oGPCR","oGPCR",Tdark,Q96R69,DTO_02100587,23.15625,0.00050125
18525,"Olfactory receptor 10G8",OR10G8,"oGPCR","oGPCR",Tdark,Q8NGN5,DTO_02100305,29.46610169,0.00050125
18691,"Olfactory receptor 10AG1",OR10AG1,"oGPCR","oGPCR",Tdark,Q8NH19,DTO_02100296,132,0.00026123
5567,"Interleukin-1 beta",IL1B,,,Tclin,P01584,,0.0000308,69.39409176
20277,"Beta-nerve growth factor",NGF,,,Tchem,P01138,DTO_05003518,0.00008139,68.00430451
8645,"Synaptophysin",SYP,,,Tbio,P08247,DTO_05002529,0.00021543,35.78313523
15702,"Allograft inflammatory factor 1",AIF1,,,Tbio,P55008,DTO_05007374,0.00049167,21.50428057
18183,"Islet amyloid polypeptide",IAPP,,,Tbio,P10997,DTO_05003400,0.0005195,20.32049285
15714,"Disintegrin and metalloproteinase domain-containing protein 10",ADAM10,"Enzyme","peptidase",Tchem,O14672,,0.00160129,15.6883058
16443,"TAR DNA-binding protein 43",TARDBP,,,Tchem,Q13148,,0.00165455,8.34565739
12214,"Prolow-density lipoprotein receptor-related protein 1",LRP1,,,Tbio,Q07954,,0.00200788,8.28434733
13651,"Myc box-dependent-interacting protein 1",BIN1,,,Tbio,O00499,,0.00312612,6.27841134
12700,"Metallothionein-3",MT3,,,Tbio,P25713,,0.00321947,6.12870125
2730,"Delta(24)-sterol reductase",DHCR24,"Enzyme",,Tchem,Q15392,DTO_05004945,0.00480473,4.27226753
2790,"Drebrin",DBN1,,,Tbio,Q16643,DTO_05000837,0.00556156,3.29596008
16463,"Beta-synuclein",SNCB,,,Tbio,Q16143,DTO_05007120,0.00743454,2.69033947
15814,"Activity-dependent neuroprotector homeobox protein",ADNP,"TF","TF",Tbio,Q9H2P0,,0.00785336,2.47668551
11292,"Protein KIBRA",WWC1,,,Tbio,Q8IX03,,0.00905646,2.00679044
14444,"Visinin-like protein 1",VSNL1,,,Tbio,P62760,,0.01221371,1.88504065
16199,"5-hydroxytryptamine receptor 6",HTR6,"GPCR","GPCR",Tchem,P50406,DTO_02100011,0.01492331,1.29766902
8695,"Transmembrane protein 106B",TMEM106B,,,Tbio,Q9NUM4,,0.01726494,1.03699487
10459,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",PDE9A,"Enzyme","cyclic nucleotide phosphodiesterase",Tchem,O76083,,0.01862532,0.97510287
8224,"Reticulon-3",RTN3,,,Tbio,O95197,,0.02373417,0.9108205
8055,"VPS10 domain-containing receptor SorCS1",SORCS1,,,Tbio,Q8WY21,DTO_05006947,0.03148473,0.89660696
1007,"EEF1AKMT4-ECE2 readthrough transcript protein",EEF1AKMT4-ECE2,,,Tdark,P0DPD8,,0.03234301,0.65108847
12279,"Leucine carboxyl methyltransferase 1",LCMT1,"Enzyme","methyltransferase_superfamily",Tbio,Q9UIC8,,0.03504409,0.61452555
17041,"Amyloid-beta A4 precursor protein-binding family A member 3",APBA3,,,Tbio,O96018,DTO_05002459,0.05059532,0.40717559
4979,"Signal peptide peptidase-like 2C",SPPL2C,"Enzyme",,Tbio,Q8IUH8,DTO_05004331,0.13913824,0.350005
6338,"G-protein coupled receptor-associated sorting protein 2",GPRASP2,,,Tbio,Q96D09,,0.14060209,0.19277436
18302,"Pentatricopeptide repeat-containing protein 1, mitochondrial",PTCD1,,,Tdark,O75127,DTO_05005410,0.17182155,0.17820246
10811,"RNA-binding Raly-like protein",RALYL,,,Tbio,Q86SE5,,0.20992411,0.14483726
3583,"Pentatricopeptide repeat-containing protein 2, mitochondrial",PTCD2,,,Tdark,Q8WV60,,0.23529342,0.09587065
8083,"Transmembrane emp24 domain-containing protein 9",TMED9,,,Tbio,Q9BVK6,DTO_05002419,0.24024246,0.08814153
12046,"Lipase maturation factor 2",LMF2,"Enzyme",,Tdark,Q9BU23,,0.24810125,0.08775963
16586,"Probable E3 ubiquitin-protein ligase TRIML2",TRIML2,"Enzyme",,Tdark,Q8N7C3,,0.38455379,0.05708339
8395,"Putative sodium-coupled neutral amino acid transporter 10",SLC38A10,"Transporter","SLC38A_transporter",Tdark,Q9HBR0,DTO_05000313,0.47522526,0.04831734
1747,"Protein FAM47E",FAM47E,,,Tdark,Q6ZV65,,0.48653067,0.03849433
4243,"Solute carrier family 26 member 10",SLC26A10,"Transporter","SLC26A_transporter",Tdark,Q8NG04,DTO_05000317,0.48807847,0.03604302
14702,"Zinc finger protein 492",ZNF492,"TF","TF",Tdark,Q9P255,,0.58448743,0.03571429
2814,"Uncharacterized protein C17orf67",C17orf67,,,Tdark,Q0P5P2,,0.94600243,0.02857143
1727,"Protein FAM90A1",FAM90A1,,,Tdark,Q86YD7,,0.95155075,0.02380952
5968,"Humanin-like 12",MTRNR2L12,,,Tdark,P0DMP1,,1.05717232,0.02121036
19215,"BTB/POZ domain-containing protein KCTD14",KCTD14,,,Tdark,Q9BQ13,DTO_05002822,1.19182828,0.01763668
8702,"Transmembrane protein 151B",TMEM151B,,,Tdark,Q8IW70,,2.15276454,0.01485133
7107,"E3 SUMO-protein ligase KIAA1586",KIAA1586,,,Tdark,Q9HCI6,,2.30999532,0.01020408
18561,"Olfactory receptor 4D10",OR4D10,"oGPCR","oGPCR",Tdark,Q8NGI6,DTO_02100582,3.91706296,0.00701184
6413,"FERM and PDZ domain-containing protein 3",FRMPD3,,,Tdark,Q5JV73,,4.19248406,0.00392157
7258,"Zinc finger protein 229",ZNF229,"TF","TF",Tdark,Q9UJW7,DTO_05001424,4.51238153,0.0037037
