id,name,sym,fam,famext,tdl,uniprot,dtoid,novelty_score,importance_score
2452,"Uncharacterized protein C3orf14",C3orf14,,,Tdark,Q9HBI5,,0.93604903,0.02
7163,"Zinc finger protein 287",ZNF287,"TF","TF",Tdark,Q9HBT7,,1.01445884,0.01826923
13835,"Clarin-3",CLRN3,,,Tdark,Q8NCR9,,1.07546405,0.01619847
1442,"Putative protein N-methyltransferase FAM86B2",FAM86B2,"Enzyme","methyltransferase_superfamily",Tdark,P0C5J1,,1.13678771,0.01333333
12089,"Leucine-rich repeat-containing protein 46",LRRC46,,,Tdark,Q96FV0,,1.159245,0.01035574
14733,"Zinc finger B-box domain-containing protein 1",ZBBX,,,Tdark,A8MT70,,1.66474399,0.01016649
3718,"Protein phosphatase 1 regulatory subunit 37",PPP1R37,"Enzyme","phosphatase",Tdark,O75864,,2.23352303,0.00886574
18720,"Olfactory receptor 1J4",OR1J4,"oGPCR","oGPCR",Tdark,Q8NGS1,DTO_02100494,3.07228916,0.00529101
183,"Uncharacterized protein C7orf61",C7orf61,,,Tdark,Q8IZ16,,3.9028559,0.00495804
17975,"GTP-binding protein 8",GTPBP8,,,Tdark,Q8N3Z3,,4.38933188,0.0030303
8298,"Sterile alpha motif domain-containing protein 15",SAMD15,,,Tdark,Q9P1V8,,4.50506694,0.00246305
1792,"Protein FAM169B",FAM169B,,,Tdark,Q8N8A8,,4.63859648,0.00233611
13349,"Uncharacterized protein C1orf146",C1orf146,,,Tdark,Q5VVC0,,6.67972686,0.00213675
16978,"Uncharacterized protein C12orf56",C12orf56,,,Tdark,Q8IXR9,,7.22222222,0.00192308
1684,"Protein FAM24A",FAM24A,,,Tdark,A6NFZ4,,8.03921569,0.00162602
15077,"Putative zinc finger protein 487",ZNF487,"TF","TF",Tdark,B1APH4,DTO_05001384,8.32065776,0.00151515
18591,"Olfactory receptor 5M1",OR5M1,"oGPCR","oGPCR",Tdark,Q8NGP8,DTO_02100636,9.61646574,0.00091912
169,"UPF0600 protein C5orf51",C5orf51,,,Tdark,A6NDU8,,10.85106383,0.00064103
13829,"Putative ATP synthase subunit g 2, mitochondrial",ATP5MGL,"Enzyme","ATP_synthase_subunit",Tdark,Q7Z4Y8,DTO_05000192,12.71700805,0.00049603
